Ingrediente;Preço (R$);Unidade;Mercado;Link;Data da Coleta
"Steak de Frango Sadia 100g";13,90;100g;Tenda Atacado;https://www.tendaatacado.com.br/produto/steak-de-frango-sadia-100g-27346;2026-03-20 21:29:51
"Steak de Frango Lar 100g";13,90;100g;Tenda Atacado;https://www.tendaatacado.com.br/produto/steak-de-frango-lar-100g;2026-03-20 21:29:51
"Filezinho de frango sassami Seara IQF 1kg";13,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-frango-sassami-seara-iqf-1kg;2026-03-20 21:29:51
"Escondidinho Frango Sadia 600g";13,90;600g;Tenda Atacado;https://www.tendaatacado.com.br/produto/escondidinho-frango-sadia-600g;2026-03-20 21:29:51
"Coração de frango Seara 1kg";13,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/coracao-de-frango-seara-1kg;2026-03-20 21:29:51
"Fricasse de frango Seara - 300g";13,90;300g;Tenda Atacado;https://www.tendaatacado.com.br/produto/fricasse-de-frango-congelado-seara-300g;2026-03-20 21:29:51
"Tempero Pó para Frango Sazón 40g";13,90;40g;Tenda Atacado;https://www.tendaatacado.com.br/produto/tempero-po-para-frango-sazon-40g;2026-03-20 21:29:51
"Coxa de frango congelada Sadia 1kg";13,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxa-de-frango-congelada-sadia-1kg;2026-03-20 21:29:51
"Steak de Frango Perdigão 100g";13,90;100g;Tenda Atacado;https://www.tendaatacado.com.br/produto/steak-frango-perdigao-100g-9877;2026-03-20 21:29:51
"Sagu Apti Morango 250g";13,90;250g;Tenda Atacado;https://www.tendaatacado.com.br/produto/sagu-apti-morango-250g;2026-03-20 21:29:51
"Filézinho Sassami de Frango Congelado Sadia Zip 1kg";13,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-peito-frango-zip-sadia-1kg-1010;2026-03-20 21:29:51
"Coxinha de Frango Kim 500g";13,90;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxinha-de-frango-kim-500g-29621;2026-03-20 21:29:51
"Asa de Frango Congelada 1kg";13,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/asa-de-frango-congelada-1kg;2026-03-20 21:29:51
"Pizza Frango e Catupiry Sadia 460g";13,90;460g;Tenda Atacado;https://www.tendaatacado.com.br/produto/pizza-frango-e-catupiry-sadia-460g-3687;2026-03-20 21:29:51
"Filézinho Sassami de Frango Congelado Perdigão 1kg";13,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-peito-de-frango-sassami-perdigao-pt-1kg-983;2026-03-20 21:29:51
"Coração de Frango Congelado Sadia 1kg";33,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/coracao-de-frango-congelado-sadia-1kg-661;2026-03-20 21:29:51
"Peito de Frango Defumado Seara Peça";48,90;und;Tenda Atacado;https://www.tendaatacado.com.br/produto/peito-de-frango-defumado-seara-peca;2026-03-20 21:29:51
"Filézinho Sassami de Frango Congelado Aurora IQF 1kg";13,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-frango-aurora-iqf-1kg-2822;2026-03-20 21:29:51
"Filezinho Sassami de Frango Congelado Aurora IQF 3kg";13,90;3kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-frango-iqf-aurora-3kg-17158;2026-03-20 21:29:51
"Filézinho Sassami de Frango Congelado Lar 6kg";13,90;6kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-sassami-de-frango-congelado-lar-6kg;2026-03-20 21:29:51
"Linguiça Toscana Congelada Aurora 700g";27,90;700g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-congelada-aurora-700g;2026-03-20 21:29:51
"Linguiça Toscana Fina Sabor de Bragança 500g";27,90;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-fina-sabor-de-braganca-500g;2026-03-20 21:29:51
"Linguiça Toscana Na Brasa Perdigão 5Kg";27,90;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-na-brasa-perdigao-5kg;2026-03-20 21:29:51
"Linguiça Toscana Na Brasa Perdigão 700g";27,90;700g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-na-brasa-perdigao-700g;2026-03-20 21:29:51
"Linguiça Toscana Congelada Frimesa 600g";27,90;600g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-congelada-frimesa-600g;2026-03-20 21:29:51
"Linguiça toscana Seara - 600g";27,90;600g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-seara-600g;2026-03-20 21:29:51
"Linguiça Toscana Congelada Sadia Pacote 5kg";21,50;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-sadia-kg-86;2026-03-20 21:29:51
"Linguiça Toscana Congelada Aurora Pacote 5kg";19,98;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-aurora-kg-64;2026-03-20 21:29:51
"Linguiça Toscana Congelada Frimesa Pacote 5kg";15,98;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/ling-toscana-cong-frimesa-kg;2026-03-20 21:29:51
"Linguiça Toscana Apimentada Na Brasa Perdigão 700g";27,90;700g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-apimentada-na-brasa-perdigao-700g;2026-03-20 21:29:51
"Linguiça Toscana Congelada NaBrasa Perdigão com Queijo 600g";27,90;600g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-congelada-com-queijo-perdigao-600g;2026-03-20 21:29:51
"Linguiça Toscana Congelada NaBrasa Perdigão com Alho e Ervas 600g";27,90;600g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-com-alho-e-ervas-na-brasa-perdigao-600g-29415;2026-03-20 21:29:51
"Linguiça Toscana Congelada Pérola 5Kg";27,90;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-congelada-perola-5kg;2026-03-20 21:29:51
"Linguiça Toscana Congelada Pérola 500g";27,90;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-congelada-perola-500g;2026-03-20 21:29:51
"Espeto de Linguiça Toscana Congelado TC 600g";27,90;600g;Tenda Atacado;https://www.tendaatacado.com.br/produto/espeto-de-linguica-toscana-congelado-tc-600g;2026-03-20 21:29:51
"Linguiça Toscana Congelada Sadia 700g";27,90;700g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-congelada-sadia-700g;2026-03-20 21:29:51
"Linguiça Toscana Congelada Aurora Premium Sabor Cerveja e Cebola Caramelizada 500g";27,90;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-sabor-cerveja-e-cebola-caramelizada-aurora-premium-500g;2026-03-20 21:29:51
"Pão Bolinha Linguiça Toscana Queijo Zinho Pacote 300g";27,90;300g;Tenda Atacado;https://www.tendaatacado.com.br/produto/pao-bolinha-linguica-toscana-queijo-zinho-pacote-300g;2026-03-20 21:29:51
"Linguiça Toscana Fina Apimentada Sabor de Bragança 500g";27,90;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-fina-apimentada-sabor-de-braganca-500g;2026-03-20 21:29:51
"Linguiça Toscana Congelada Perdigão NaBrasa Apimentada 1kg";27,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-perdigao-apimentada-pct-1kg-3011;2026-03-20 21:29:51
"Acém Bovino Resfriado Pedaço 1kg";37,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/acem-bovino-resfriado-pedaco-1kg;2026-03-20 21:29:51
"Acelga Unidade";37,90;und;Tenda Atacado;https://www.tendaatacado.com.br/produto/acelga-unidade-917;2026-03-20 21:29:51
"Carne Moída Bovina resfriada do Chef Acém 500g";37,90;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/carne-moida-bov-do-chef-acem-500g;2026-03-20 21:29:51
"Short Ribs Bovino Bassi Sadia 700g";41,97;700g;Tenda Atacado;https://www.tendaatacado.com.br/produto/acem-bovino-congelado-short-rib-bassi-sadia-bandeja;2026-03-20 21:29:51
