Item,Peso Total,Tara,Peso Líquido,OBS
Beterraba ,"1,230 kg","0,470 kg","0,760 kg",Recipientes P - Alimentos Frios
Tomate,"1,280 kg","0,470 kg","0,810 kg",
Alface,"0,710 kg","0,470 kg","0,240 kg",
Cenoura,"1,620 kg","0,470 kg","1,150 kg",
Farofa ,"1,300 kg","0,554 kg","0,746 kg",(Recipiente P. -  Alimentos Quentes)
Bife de Panela,"1,940 kg","0,554 kg","1,386 kg",
Macarrao Alho e Oleo,"1,550 kg","0,554 kg","0,996 kg",
Repolho Refogado,"1,350 kg","0,554 kg","0,796 kg",
Isca de Pernil,"1,770 kg","0,554 kg","1,216 kg",
Arroz ,"1,940 kg","0,720 kg","1,220 kg",(Recipiente G. - Alimentos Quentes)
Strogonoff ,"2,560 kg","0,720 kg","1,840 kg",
Feijão ,"1,710 kg","0,720 kg","0,990 kg",
Frango Frito ,"1,350 kg","0,720 kg","0,630 kg",
Alimentos que ficaram na Panela e não foram para a cuba,,,,
Arroz,"7,250 kg",- kg,"5,510 kg","Não foi realizado a Tara do Arroz, pois o arroz foi congelado para os dias seguintes na propria panela"
Arroz Queimado,"2,380 kg","0,970 kg","1,410 kg",
Strogonoff (Rodapé),"2,180 kg","0,240 kg","1,210 kg","O strogonoff de frango, foi armazenado em um pote, pois isso está a tara está menor "
Feijão na Panela de Pressão,"4,450 kg","1,740 kg","2,710 kg",Tambem foi congelado para os dias seguintes
Farofa,"0,890 kg",- kg,"0,890 kg",Todos esses alimentos foram pesados no saco plastico por isso não tem tara
Macarrão,"1,410 kg",- kg,"1,410 kg",
Beterraba ,"0,600 kg",- kg,"0,600 kg",
