Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
"acém";"Carne Moída Bovina resfriada do Chef Acém 500gduto indisponível";19,90;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/carne-moida-bov-do-chef-acem-500g;2026-03-21 22:20:22
"acém";"Carne Bovina Acem Pul 500g";35,94;500g;Spani Atacadista;https://www.spanionline.com.br/produto/12821/carne-bovina-acem-pul-500g;2026-03-21 22:20:22
"acém";"Carne Bovina Acem Porc Minerva Atc Kg";36,90;und;Spani Atacadista;https://www.spanionline.com.br/produto/14757/carne-bovina-acem-porc-minerva-atc-kg;2026-03-21 22:20:22
"acém";"Acém Bovino Resfriado Pedaço 1kgo médio 1 kg Valor do kg: onar";37,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/acem-bovino-resfriado-pedaco-1kg;2026-03-21 22:20:22
"alcatra";"Alcatra Suína Temperada Pamplona 500go médio 0.5 kg Valor do kg: onar";16,45;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/alcatra-suina-temperada-pamplona-500g;2026-03-21 22:20:22
"alcatra";"Alcatra com Maminha Bovina em Bifes Resfriado Bandeja 400go médio 0.4 kg Valor do kg: onar";19,16;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/alcatra-com-maminha-bovina-em-bifes-resfriado-bandeja-400g;2026-03-21 22:20:22
"alcatra";"Miolo da Alcatra Bovina Resfriado em Bifes bandeja 400go médio 0.4 kg Valor do kg: onar";19,56;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/miolo-alcatra-bovino-bife-400g;2026-03-21 22:20:22
"alcatra";"Carne Suína Alcatra Congelada Seara 700g";24,59;700g;Spani Atacadista;https://www.spanionline.com.br/produto/12245/carne-suina-alcatra-congelada-seara-700g;2026-03-21 22:20:22
"alcatra";"Conhaque de Alcatrão São João da Barra 900mlcionar";24,90;900ml;Tenda Atacado;https://www.tendaatacado.com.br/produto/conhaque-de-alcatrao-sao-joao-da-barra-900ml;2026-03-21 22:20:22
"alcatra";"Carne Bovina Alcatra Pul 500g";61,38;500g;Spani Atacadista;https://www.spanionline.com.br/produto/12815/carne-bovina-alcatra-pul-500g;2026-03-21 22:20:22
"alcatra";"Miolo da Alcatra Bovina Resfriado 5kgo médio 5 kg Valor do kg: onar";229,50;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/miolo-da-alcatra-bovina-resfriado-5kg;2026-03-21 22:20:22
"alcatra";"Alcatra com Maminha Bovina Resfriado Peça 7kgo médio 7 kg Valor do kg: onar";314,30;7kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/alcatra-com-maminha-bovina-resfriado-peca-7kg;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Renata Linguine 500g";5,50;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-renata-linguine-pacote-com-500g-84378-2803/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Renata Spaghetti 500g";5,50;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-renata-spaghetti-pacote-com-500g-84375-2819/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Renata Fusilli 500g";5,50;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-renata-fusilli-pacote-com-500g-84475-38872/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Renata Grano Duro Espaguete 8 500g";6,29;500g;Spani Atacadista;https://www.spanionline.com.br/produto/1509/macarrao-renata-grano-duro-espaguete-8-500g;2026-03-21 22:20:22
"coxão duro";"Macarrão Renata Grano Duro Fusili 500g";6,29;500g;Spani Atacadista;https://www.spanionline.com.br/produto/1510/macarrao-renata-grano-duro-fusili-500g;2026-03-21 22:20:22
"coxão duro";"Macarrão Renata Grano Duro Penne 500g";6,29;500g;Spani Atacadista;https://www.spanionline.com.br/produto/1513/macarrao-renata-grano-duro-penne-500g;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Adria Espaguete 500g";6,49;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-adria-espaguete-pacote-com-500g-26741-2709/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Petybon Spaghetti 500g";6,50;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-petybon-spaghetti-pacote-com-500g-17963-2785/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Petybon Penne 500g";6,50;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-petybon-penne-pacote-com-500g-74570-38607/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Petybon Cavatappi 500g";6,50;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-petybon-cavatappi-89842-52780/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Baronia Lingue di Passero 500g";6,99;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-baronia-lingue-di-passero-11822-60477/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Baronia Rigatoni 500g";7,49;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-baronia-rigatoni-11834-60481/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Baronia Boccoli 500g";7,49;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-baronia-boccoli-11838-60483/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Baronia Farfalle 500g";7,49;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-baronia-farfalle-11831-60480/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Baronia Penne Rigate 500g";7,49;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-baronia-penne-rigate-11837-59630/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Da Roz Conchiglione 500g";7,99;500g;Atacadão;https://www.atacadao.com.br/;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Da Roz Fusilli 300g";7,99;300g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-da-roz-fusilli-95794-45851/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Barilla Spaghetti N°5 500g";9,90;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-barilla-spaghetti-66686-2722/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Barilla Spaghettoni N°7 500g";9,90;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-barilla-spaghettoni-n%C2%B07-66685-2730/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Barilla Capellini 500g";9,90;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-barilla-capellini-93624-43978/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Baronia Fettuccine 500g";10,99;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-baronia-fettuccine-11830-60479/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Barilla Fusilli 500g";11,39;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-barilla-fusilli-79659-2713/p;2026-03-21 22:20:22
"coxão duro";"Macarrão Grano Duro Barilla Penne Rigate 500g";11,39;500g;Atacadão;https://www.atacadao.com.br/macarrao-grano-duro-barilla-penne-rigate-71853-2716/p;2026-03-21 22:20:22
"coxão duro";"Bife de Coxão Duro Bovino Resfriado - Bandeja 400go médio 0.4 kg Valor do kg: onar";15,92;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/bife-de-coxao-duro-bovino-resfriado-bandeja-400g;2026-03-21 22:20:22
"coxão duro";"Coxão Duro Bovino em Bifes Resfriado Bandeja 400go médio 0.4 kg Valor do kg: onar";16,64;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxao-duro-bovino-bife-400g;2026-03-21 22:20:22
"coxão duro";"Coxão Mole Bovino em Bifes 500go médio 0.5 kg Valor do kg: onar";20,95;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxao-mole-bov-bife-kg;2026-03-21 22:20:22
"coxão duro";"Coxão Duro Bovino Resfriado Peça 6kgo médio 6 kg Valor do kg: onar";238,74;6kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxao-duro-bovino-resfriado-peca-6kg;2026-03-21 22:20:22
"coxão mole bovino";"Hambúrguer Sadia Congelado Bovino 113g";3,99;113g;Atacadão;https://www.atacadao.com.br/hamburguer-sadia-congelado-bovino-97737-47522/p;2026-03-21 22:20:22
"coxão mole bovino";"Maria Mole Dr. Oetker 50g Coco";4,99;50g;Spani Atacadista;https://www.spanionline.com.br/produto/2033/maria-mole-dr-oetker-50g-coco;2026-03-21 22:20:22
"coxão mole bovino";"Hambúrguer Bovino Maturatta Congelado Costela 180g";5,50;180g;Atacadão;https://www.atacadao.com.br/hamburguer-bovino-maturatta-costela-86376-21399/p;2026-03-21 22:20:22
"coxão mole bovino";"Hambúrguer Bovino Nabrasa Perdigão Picanha 150g";5,79;150g;Atacadão;https://www.atacadao.com.br/hamburguer-bovino-nabrasa-perdigao-picanha-96922-47091/p;2026-03-21 22:20:22
"coxão mole bovino";"Hambúrguer Bovino Nabrasa Perdigão Costela 150g";5,79;150g;Atacadão;https://www.atacadao.com.br/hamburguer-bovino-nabrasa-perdigao-costela-96921-47090/p;2026-03-21 22:20:22
"coxão mole bovino";"Hambúrguer Bovino Maturatta Congelado Picanha 180g";6,60;180g;Atacadão;https://www.atacadao.com.br/hamburguer-bovino-maturatta-congelado-picanha-85207-21393/p;2026-03-21 22:20:22
"coxão mole bovino";"Hambúrguer Bovino Sadia Churrasco 672g";15,80;672g;Atacadão;https://www.atacadao.com.br/hamburguer-bovino-sadia-churrasco-57119-21421/p;2026-03-21 22:20:22
