Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
"bacon";"Biscoito Salgado Tuc's Bacon 100g";1,35;100g;Atacadão;https://www.atacadao.com.br/biscoito-salgado-tuc-s-bacon-67927-30756/p;2026-03-21 21:49:16
"bacon";"Salgadinho Lucky Torcida Bacon 60g";1,59;60g;Atacadão;https://www.atacadao.com.br/salgadinho-lucky-torcida-bacon-92551-41797/p;2026-03-21 21:49:16
"bacon";"Macarrão Instantâneo Renata Feijão E Bacon 96g";1,69;96g;Spani Atacadista;https://www.spanionline.com.br/produto/1490/macarrao-instantaneo-renata-feijao-e-bacon-96g;2026-03-21 21:49:16
"bacon";"Caldo Sazón Bacon 32,5g";2,05;5g;Atacadão;https://www.atacadao.com.br/caldo-sazon-bacon-74972-5274/p;2026-03-21 21:49:16
"bacon";"Caldo Maggi Bacon 57g";2,18;57g;Atacadão;https://www.atacadao.com.br/caldo-maggi-bacon-59963-5087/p;2026-03-21 21:49:16
"bisteca suína";"Bisteca Suína Resfriado 500go médio 0.5 kg Valor do kg: onar";8,95;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/bisteca-suina-resfriado-500g;2026-03-21 21:49:16
"bisteca suína";"Bisteca Suína Sadia Congelada 800g";14,98;800g;Atacadão;https://www.atacadao.com.br/;2026-03-21 21:49:16
"bisteca suína";"Bisteca suína Resfriada Pamplona Temperada 900go médio 0.9 kg Valor do kg: onar";24,21;900g;Tenda Atacado;https://www.tendaatacado.com.br/produto/bisteca-suina-c-osso-temp-pamplona-kg;2026-03-21 21:49:16
"costela suína";"Macarrão Cup Noodles Costela 68g";4,69;68g;Spani Atacadista;https://www.spanionline.com.br/produto/1788/macarrao-cup-noodles-costela-68g;2026-03-21 21:49:16
"costela suína";"Petisco Para Gatos Friskies 40g Party Mix Carne De Cordeiro E Carne Suína";6,99;40g;Spani Atacadista;https://www.spanionline.com.br/produto/14388/petisco-para-gatos-friskies-40g-party-mix-carne-de-cordeiro-e-carne-suina;2026-03-21 21:49:16
"costela suína";"Carne Seca Suína Seara 400g";10,99;400g;Spani Atacadista;https://www.spanionline.com.br/produto/11135/carne-seca-suina-seara-400g;2026-03-21 21:49:16
"costela suína";"Linguica Suína Seara Congelado 600g";13,39;600g;Spani Atacadista;https://www.spanionline.com.br/produto/14882/linguica-suina-seara-congelado-600g;2026-03-21 21:49:16
"costela suína";"Costelinha Suína Resfriado 500go médio 0.5 kg Valor do kg: onar";13,45;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/costelinha-suina-resfriado-500g;2026-03-21 21:49:16
"linguiça calabresa";"Pimenta Calabresa Dasabor 20g";1,99;20g;Spani Atacadista;https://www.spanionline.com.br/produto/197/pimenta-calabresa-dasabor-20g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Mista Fina Seara 215g";7,59;215g;Spani Atacadista;https://www.spanionline.com.br/produto/663/linguica-mista-fina-seara-215g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Fininha Defumada Pamplona 240gcionar";7,85;240g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-fininha-defumada-pamplona-240g-30017;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Brasa 400gcionar";9,99;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-brasa-400g;2026-03-21 21:49:16
"linguiça calabresa";"Pão De Alho Mezzani 310g Calabresa";10,79;310g;Spani Atacadista;https://www.spanionline.com.br/produto/8516/pao-de-alho-mezzani-310g-calabresa;2026-03-21 21:49:16
"linguiça toscana";"Linguiça Toscana Congelada Pérola 500gpartir de 2 unidadesregras";8,90;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-toscana-congelada-perola-500g;2026-03-21 21:49:16
"linguiça toscana";"Pão Bolinha Linguiça Toscana Queijo Zinho Pacote 300gpartir de 3 unidadesregras";12,90;300g;Tenda Atacado;https://www.tendaatacado.com.br/produto/pao-bolinha-linguica-toscana-queijo-zinho-pacote-300g;2026-03-21 21:49:16
"linguiça toscana";"Linguiça Toscana Sadia Congelada 700g";13,90;700g;Atacadão;https://www.atacadao.com.br/linguica-toscana-sadia-congelada-86374-36784/p;2026-03-21 21:49:16
"linguiça toscana";"Linguiça Toscana Seara Congelada 600g";14,50;600g;Atacadão;https://www.atacadao.com.br/linguica-toscana-seara-congelada-9855-59241/p;2026-03-21 21:49:16
"linguiça toscana";"Linguiça Toscana Pamplona Congelada 880g";14,90;880g;Atacadão;https://www.atacadao.com.br/linguica-toscana-pamplona-congelada-pacote-com-880g-83951-36741/p;2026-03-21 21:49:16
"pernil suíno";"Pernil Suíno Com Osso Resfriado 500go médio 0.5 kg Valor do kg: onar";8,45;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/pernil-suino-com-osso-resfriado-500g;2026-03-21 21:49:16
