Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
"bacon";"Biscoito Salgado Tuc's Bacon 100g";1,35;100g;Atacadão;https://www.atacadao.com.br/biscoito-salgado-tuc-s-bacon-67927-30756/p;2026-03-21 21:49:16
"bacon";"Salgadinho Lucky Torcida Bacon 60g";1,59;60g;Atacadão;https://www.atacadao.com.br/salgadinho-lucky-torcida-bacon-92551-41797/p;2026-03-21 21:49:16
"bacon";"Macarrão Instantâneo Renata Feijão E Bacon 96g";1,69;96g;Spani Atacadista;https://www.spanionline.com.br/produto/1490/macarrao-instantaneo-renata-feijao-e-bacon-96g;2026-03-21 21:49:16
"bacon";"Caldo Sazón Bacon 32,5g";2,05;5g;Atacadão;https://www.atacadao.com.br/caldo-sazon-bacon-74972-5274/p;2026-03-21 21:49:16
"bacon";"Caldo Maggi Bacon 57g";2,18;57g;Atacadão;https://www.atacadao.com.br/caldo-maggi-bacon-59963-5087/p;2026-03-21 21:49:16
"bacon";"Pipoca Para Microondas Pacha Bacon 100g";2,59;100g;Spani Atacadista;https://www.spanionline.com.br/produto/212/pipoca-para-microondas-pacha-bacon-100g;2026-03-21 21:49:16
"bacon";"Milho de Pipoca para Micro-ondas Campo Belo Bacon 100g";2,69;100g;Atacadão;https://www.atacadao.com.br/milho-de-pipoca-para-micro-ondas-campo-belo-bacon-pacote-com-100g-22888-8343/p;2026-03-21 21:49:16
"bacon";"Salgadinho Biscoitone 90g Bacon";3,59;90g;Spani Atacadista;https://www.spanionline.com.br/produto/4830/salgadinho-biscoitone-90g-bacon;2026-03-21 21:49:16
"bacon";"Biscoito Club Social 141g Bacon E Provolone";5,49;141g;Spani Atacadista;https://www.spanionline.com.br/produto/8715/biscoito-club-social-141g-bacon-e-provolone;2026-03-21 21:49:16
"bacon";"Hambúrguer Faroeste Aurora X Bacon 145g";7,29;145g;Atacadão;https://www.atacadao.com.br/hamburguer-faroeste-aurora-x-bacon-82519-21497/p;2026-03-21 21:49:16
"bacon";"Hot Hit Seara 145g Cheddar E Bacon";8,59;145g;Spani Atacadista;https://www.spanionline.com.br/produto/611/hot-hit-seara-145g-cheddar-e-bacon;2026-03-21 21:49:16
"bacon";"Hot Hit Seara 145g X-bacon";8,59;145g;Spani Atacadista;https://www.spanionline.com.br/produto/613/hot-hit-seara-145g-xbacon;2026-03-21 21:49:16
"bacon";"Macarrão Pronto Mac & Cheese Seara Cheddar e Bacon 300g";8,90;300g;Atacadão;https://www.atacadao.com.br/macarrao-pronto-mac---cheese-seara-cheddar-e-bacon-71074-3719/p;2026-03-21 21:49:16
"bacon";"Salgadinho De Batata Pringles Tubo 105g Cheddar E Bacon";10,90;105g;Spani Atacadista;https://www.spanionline.com.br/produto/12237/salgadinho-de-batata-pringles-tubo-105g-cheddar-e-bacon;2026-03-21 21:49:16
"bacon";"Bacon tablete Seara Gourmeto médio 0.23 kg Valor do kg: onar";11,94;94 un;Tenda Atacado;https://www.tendaatacado.com.br/produto/bacon-tablete-seara-gourmet;2026-03-21 21:49:16
"bacon";"Caldo Qualimax Sabor Bacon 1,01kg";12,90;01kg;Spani Atacadista;https://www.spanionline.com.br/produto/8310/caldo-qualimax-sabor-bacon-101kg;2026-03-21 21:49:16
"bacon";"Bacon Seara Defumado 140g Cubos";12,99;140g;Spani Atacadista;https://www.spanionline.com.br/produto/8758/bacon-seara-defumado-140g-cubos;2026-03-21 21:49:16
"bacon";"Linguiça de Frango Aurora Cong Com Bacon 500g";14,76;500g;Atacadão;https://www.atacadao.com.br/linguica-de-frango-aurora-congelada-com-bacon-93004-43459/p;2026-03-21 21:49:16
"bacon";"Bacon em fatias 250g Perdigãocionar";15,35;250g;Tenda Atacado;https://www.tendaatacado.com.br/produto/bacon-em-fatias-250g-perdigao;2026-03-21 21:49:16
"bacon";"Bacon Fatiado Pamplona 250gcionar";15,89;250g;Tenda Atacado;https://www.tendaatacado.com.br/produto/bacon-fatiado-pamplona-250g-22088;2026-03-21 21:49:16
"bacon";"Bacon Fatiado Aurora 250gcionar";16,50;250g;Tenda Atacado;https://www.tendaatacado.com.br/produto/bacon-fatiado-aurora-250g-22892;2026-03-21 21:49:16
"bacon";"Bacon Aurora Fatiado 250g";16,90;250g;Atacadão;https://www.atacadao.com.br/bacon-fatiado-aurora-67131-17860/p;2026-03-21 21:49:16
"bacon";"Pizza de Frango Perdigão Com Bacon e Requeijão 460g";16,90;460g;Atacadão;https://www.atacadao.com.br/pizza-de-frango-perdigao-com-bacon-e-requeijao-92021-41721/p;2026-03-21 21:49:16
"bacon";"Catchup Heinz Bacon E Cebola 397g";17,19;397g;Spani Atacadista;https://www.spanionline.com.br/produto/3320/catchup-heinz-bacon-e-cebola-397g;2026-03-21 21:49:16
"bacon";"Bacon Pedaço Frimesao médio 0.345 kg Valor do kg: onar";18,94;94 un;Tenda Atacado;https://www.tendaatacado.com.br/produto/bacon-pedaco-frimesa;2026-03-21 21:49:16
