Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
coxa;Coxa de frango congelada Sadia 1kgcionar;10,5;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxa-de-frango-congelada-sadia-1kg;21/03/2026 06:52
coxa;Coxa Seara IQF 1kgcionar;10,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxa-seara-iqf-1kg;21/03/2026 06:52
coxa;Coxa e Sobrecoxa de Frango Copacol Cong Sem Osso Temp 1kg;13,97;1kg;Atacadão;https://www.atacadao.com.br/coxa-e-sobrecoxa-de-frango-copacol-congelada-sem-osso-temperada-68021-11558/p;21/03/2026 06:52
coxa;Coxa e Sobrecoxa de Frango à Passarinho Congelada Sadia Zip 1kgcionar;16,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxa-e-sobrecoxa-a-passarinho-congelada-zip-sadia-1kg-3830;21/03/2026 06:52
coxa;Filé de Coxas e Sobrecoxas de Frango Congelado Lar 1kgpartir de 3 unidadesregras;16,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-coxas-e-sobrecoxas-de-frango-congelado-lar-1kg;21/03/2026 06:52
coxa;Coxa e Sobrecoxa de Frango Seara Congelada Desossada 1kg;16,9;1kg;Atacadão;https://www.atacadao.com.br/coxa-e-sobrecoxa-de-frango-seara-congelada-desossada-7782-58356/p;21/03/2026 06:52
coxa;Coxa e Sobrecoxa de Frango C.Vale Cong Sem osso 1kg;16,9;1kg;Atacadão;https://www.atacadao.com.br/coxa-e-sobrecoxa-de-frango-c-vale-congelada-sem-osso-94477-44695/p;21/03/2026 06:52
;;;;;;
coxa;File de Coxa e Sobrecoxa de Frango Seara Cong Temperada 1kg;17,9;1kg;Atacadão;https://www.atacadao.com.br/file-de-coxa-e-sobrecoxa-de-frango-seara-congelada-temperada-7783-58357/p;21/03/2026 06:52
coxa;File de Coxa e Sobrecoxa de Frango Congelada 1,5kgo médio 1.5 kg Valor do kg: onar;20,85;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-coxa-e-sobrecoxa-de-frango-congelada-1-5kg;21/03/2026 06:52
coxa;Filé de Coxa e Sobrecoxa de Frango Ad'oro Congelado 1,5kg;20,9;5kg;Atacadão;https://www.atacadao.com.br/file-de-coxa-e-sobrecoxa-de-frango-ad-oro-87220-11535/p;21/03/2026 06:52
;;;;;;
coxa;Filé de Coxa e Sobrecoxa Aurora Congelada 3kg;44,8;3kg;Atacadão;https://www.atacadao.com.br/file-de-coxa-e-sobrecoxa-aurora-congelada-pacote-com-3kg-45422-11530/p;21/03/2026 06:52
coxa;Capa de Coxão Mole Bovino 2,2kgo médio 2.2 kg Valor do kg: onar;74,58;2kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/capa-coxao-mole-bov-pc-vc-kg;21/03/2026 06:52
coxa;Coxa com Sobrecoxa de Frango Copacol Congelada 16kg;120;16kg;Atacadão;https://www.atacadao.com.br/;21/03/2026 06:52
coxa;Coxa e Sobrecoxa de Frango Canção Congelada 18kg;135;18kg;Atacadão;https://www.atacadao.com.br/coxa-e-sobrecoxa-de-frango-cancao-congelada-7831-25780/p;21/03/2026 06:52
coxa;Coxão Duro Bovino Resfriado Peça 6kgo médio 6 kg Valor do kg: onar;233,4;6kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxao-duro-bovino-resfriado-peca-6kg;21/03/2026 06:52
frango sassami;Filezinho Sassami Aurora Congelado 1kg;14,98;1kg;Atacadão;https://www.atacadao.com.br/filezinho-sassami-aurora-congelado-pacote-com-1kg-52252-12728/p;21/03/2026 06:52
frango sassami;Filezinho Sassami Canção IQF Congelado 1kg;15,9;1kg;Atacadão;https://www.atacadao.com.br/filezinho-sassami-cancao-iqf-congelado-50483-12742/p;21/03/2026 06:52
frango sassami;Filezinho Sassami Copacol Congelado 1kg;15,98;1kg;Atacadão;https://www.atacadao.com.br/;21/03/2026 06:52
;;;;;;
frango sassami;Filezinho Sassami Lar Congelado 1kg;16,9;1kg;Atacadão;https://www.atacadao.com.br/filezinho-sassami-lar-congelado-39298-12789/p;21/03/2026 06:52
frango sassami;Filezinho de Frango Aurora Congelado 1kg;16,9;1kg;Atacadão;https://www.atacadao.com.br/filezinho-de-frango-aurora-congelado-32491-12624/p;21/03/2026 06:52
frango sassami;Filezinho Sassami IQF C. Vale Congelado 1kg;17,5;1kg;Atacadão;https://www.atacadao.com.br/filezinho-sassami-iqf-c--vale-congelado-49796-12773/p;21/03/2026 06:52
frango sassami;Filezinho de frango sassami Seara IQF 1kgcionar;18,5;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-frango-sassami-seara-iqf-1kg;21/03/2026 06:52
;;;;;;
frango sassami;Filezinho de Frango Seara Congelado IQF 1kg;18,95;1kg;Atacadão;https://www.atacadao.com.br/filezinho-de-frango-seara-congelado-iqf-36103-12698/p;21/03/2026 06:52
frango sassami;Filézinho Sassami de Frango Congelado Aurora IQF 1kgcionar;19,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-frango-aurora-iqf-1kg-2822;21/03/2026 06:52
frango sassami;Filezinho de Frango Sadia Congelado 1kg;19,9;1kg;Atacadão;https://www.atacadao.com.br/filezinho-de-frango-sadia-congelado-64823-12656/p;21/03/2026 06:52
frango sassami;Filézinho Sassami de Frango Congelado Sadia Zip 1kgpartir de 3 unidadesregras;20,5;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-peito-frango-zip-sadia-1kg-1010;21/03/2026 06:52
frango sassami;Filezinho Sassami Congelado 1,5kgo médio 1.5 kg Valor do kg: onar;23,85;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-sassami-congelado-1-5kg;21/03/2026 06:52
frango sassami;Filezinho Sassami Marinado Sadia Congelado 1kg;23,9;1kg;Atacadão;https://www.atacadao.com.br/filezinho-sassami-marinado-sadia-congelado-96425-46430/p;21/03/2026 06:52
frango sassami;Filezinho de Frango Copacol Empanado 1,5kg;37,5;5kg;Atacadão;https://www.atacadao.com.br/filezinho-de-frango-copacol-empanado-49573-12642/p;21/03/2026 06:52
frango sassami;Filezinho Sassami Empanado Lar 1,5kgpartir de 2 unidadesregras;38,9;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-sassami-empanado-lar-1-5kg;21/03/2026 06:52
frango sassami;Filezinho de Frango Aurora Empanado 1,5kg;45,9;5kg;Atacadão;https://www.atacadao.com.br/filezinho-de-frango-aurora-empanado-93008-43462/p;21/03/2026 06:52
frango sassami;Filezinho de Frango Aurora IQF Congelado 3kg;46,5;3kg;Atacadão;https://www.atacadao.com.br/filezinho-de-frango-aurora-iqf-45423-12633/p;21/03/2026 06:52
frango sassami;Filezinho de Frango Sassami Perdigão Congelado Temperado 3kg;48,97;3kg;Atacadão;https://www.atacadao.com.br/filezinho-de-frango-sassami-perdigao-congelado-temperado-96427-46432/p;21/03/2026 06:52
frango sassami;Filezinho Sassami de Frango Congelado Perdigão Temperado 3kgcionar;49,57;3kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-sassami-temperado-perdigao-3kg-27578;21/03/2026 06:52
frango sassami;Filezinho Sassami de Frango Congelado Aurora IQF 3kgcionar;58,9;3kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-frango-iqf-aurora-3kg-17158;21/03/2026 06:52
frango sassami;Filézinho Sassami de Frango Congelado Lar 6kgcionar;86,4;6kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-sassami-de-frango-congelado-lar-6kg;21/03/2026 06:52
frango sassami;Filezinho Sassami Lar Congelado 6kg;87;6kg;Atacadão;https://www.atacadao.com.br/filezinho-sassami-lar-congelado-8229-61728/p;21/03/2026 06:52
frango sassami;Filézinho Sassami de Frango Congelado Seara Bloco 6kgcionar;96;6kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-sassami-seara-6kg-1858;21/03/2026 06:52
frango sassami;Filezinho Sassami de Frango IQF Congelado Canção Alimentos 6kgcionar;99,8;6kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-sassami-de-frango-iqf-congelado-cancao-alimentos-6kg;21/03/2026 06:52
frango sassami;Filezinho de Frango Sassami Seara Congelado 6kg;101,88;6kg;Atacadão;https://www.atacadao.com.br/filezinho-de-frango-sassami-seara-congelado-38710-12673/p;21/03/2026 06:52
;;;;;;
;;;;;;
;;;;;;
;;;;;;
peito de frango;Sobrecoxa IQF 1kg Sadiacionar;12,5;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/sobrecoxa-iqf-1kg-sadia;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Lar IQF Congelado 1kg;16,9;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-lar-iqf-congelado-46102-11909/p;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Aurora IQF Congelado 1kg;16,9;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-aurora-iqf-congelado-45421-11676/p;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Zip Sadia Congelado 1kg;16,98;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-sadia-zip-congelado-17522-12015/p;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Copacol Congelado 1kg;17,5;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-copacol-congelado-9637-11770/p;21/03/2026 06:52
peito de frango;Peito de Frango com Osso Congelado 1,5kgo médio 1.5 kg Valor do kg: onar;17,85;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/peito-de-frango-com-osso-congelado-1-5kg;21/03/2026 06:52
peito de frango;Filé de Coxa e Sobrecoxa Congelado Aurora 1kgcionar;17,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-coxa-sobrecoxa-aurora-1kg-5040;21/03/2026 06:52
peito de frango;AnúncioFilezinho de frango sassami Seara IQF 1kgcionar;18,5;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-frango-sassami-seara-iqf-1kg;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Congelado Sadia Zip 1kgcionar;18,5;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-peito-de-frabgo-congelado-sadia-zip-pct1kg-3842;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Congelado Lar 1Kgpartir de 3 unidadesregras;18,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-peito-de-frango-congelado-lar-1kg;21/03/2026 06:52
;;;;;;
;;;;;;
peito de frango;Filé de Peito de Frango Seara Congelado IQF 1kg;18,95;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-seara-congelado-37849-12021/p;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Sadia Congelado 1kg;18,97;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-sadia-congelado-44343-12006/p;21/03/2026 06:52
peito de frango;Filezinho de Peito de Frango Seara Congelado 1kg;18,98;1kg;Atacadão;https://www.atacadao.com.br/filezinho-de-peito-de-frango-seara-congelado-51025-12713/p;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Seara Congelado 1kg;18,98;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-seara-congelado-39632-12027/p;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Congelado Aurora IQF 1Kgcionar;19,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-peito-aurora-iqf-1kg-11518;21/03/2026 06:52
peito de frango;Filé de peito bandeja Seara 1kgo médio 1 kg Valor do kg: onar;19,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-peito-bandeja-seara-1kg;21/03/2026 06:52
peito de frango;Filézinho Sassami de Frango Congelado Perdigão 1kgpartir de 3 unidadesregras;20,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-peito-de-frango-sassami-perdigao-pt-1kg-983;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Congelado Aurora 1kgpartir de 3 unidadesregras;22,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-peito-frango-congelado-aurora-1kg-2015;21/03/2026 06:52
peito de frango;Mini Chicken Perdigão 1kgpartir de 3 unidadesregras;23,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/mini-chicken-perdigao-1kg;21/03/2026 06:52
;;;;;;
;;;;;;
peito de frango;Filé de Peito de Frango Congelado IQF Aurora 3kg;47,7;3kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-congelado-iqf-aurora-embalagem-com-3kg-45420-11757/p;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Congelado Aurora IQF 3kgcionar;56,9;3kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-peito-de-frango-iqf-aurora-3kg-17156;21/03/2026 06:52
peito de frango;Peito de Frango Desfiado Aurora Cong. Cozido e Temp. 1,5kg;62;5kg;Atacadão;https://www.atacadao.com.br/peito-de-frango-desfiado-aurora-congelado-cozido-e-temperado-95679-46127/p;21/03/2026 06:52
