Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
"arroz";"Arroz Saboroso Tipo 1 1kgcionar";3,20;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/arroz-saboroso-tipo-1-1kg;2026-03-22 23:31:11
"arroz";"Arroz Tarumã 1kgcionar";3,29;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/arroz-taruma-1kg;2026-03-22 23:31:11
"arroz";"Arroz Solito Agulhinha Tipo 1 1kg";3,39;1kg;Atacadão;https://www.atacadao.com.br/arroz-solito-agulhinha-tipo-1-5358-50731/p;2026-03-22 23:31:11
"arroz";"Arroz Namorado Agulhinha Tipo 1 1kg";3,50;1kg;Atacadão;https://www.atacadao.com.br/arroz-namorado-agulhinha-tipo-1-28973-14450/p;2026-03-22 23:31:11
"arroz";"Arroz Tipo 1 Solito 1Kgcionar";3,60;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/arroz-tipo-1-solito-1kg;2026-03-22 23:31:11
"arroz";"Arroz Tipo 1 Namorado 1Kgpartir de 2 unidadesregras";3,79;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/arroz-tipo-1-namorado-1kg-23123;2026-03-22 23:31:11
"arroz";"Arroz Branco Camil Tipo 1 1kgpartir de 2 unidadesregras";3,89;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/arroz-branco-camil-tipo-1-1kg;2026-03-22 23:31:11
"arroz";"Arroz Tipo 1 Fantástico 1Kgcionar";3,95;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/arroz-tipo-1-fantastico-1kg-22675;2026-03-22 23:31:11
"arroz";"Mingau Alcafood Arroz 200g";3,99;200g;Spani Atacadista;https://www.spanionline.com.br/produto/7745/mingau-alcafood-arroz-200g;2026-03-22 23:31:11
"arroz";"Arroz Tipo 1 Palmares Plus 1kg";4,49;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/3040/arroz-tipo-1-palmares-plus-1kg;2026-03-22 23:31:11
