Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
filé de merluza;Salgadinho Piraquê Comida Di Buteco 50g Filé Aperitivo;1,89;50g;Spani Atacadista;https://www.spanionline.com.br/produto/14313/salgadinho-piraque-comida-di-buteco-50g-file-aperitivo;21/03/2026 21:34
filé de merluza;Filé De Sardinha Gomes Da Costa Em Óleo 125g;13,09;125g;Spani Atacadista;https://www.spanionline.com.br/produto/1740/file-de-sardinha-gomes-da-costa-em-oleo-125g;21/03/2026 21:34
filé de merluza;Filé de Peixe Salmão Costa Sul Congelado 125g;14,9;125g;Atacadão;https://www.atacadao.com.br/file-de-peixe-salmao-costa-sul-congelado-11550-59625/p;21/03/2026 21:34
filé de merluza;Empanado Filé De Frango Milanesa Seara 400g;15,99;400g;Spani Atacadista;https://www.spanionline.com.br/produto/11636/empanado-file-de-frango-milanesa-seara-400g;21/03/2026 21:34
filé de merluza;Filé De Sobrecoxa Congelado Chimichurri Aurora Premium 800g;16,49;800g;Spani Atacadista;https://www.spanionline.com.br/produto/11410/file-de-sobrecoxa-congelado-chimichurri-aurora-premium-800g;21/03/2026 21:34
filé de merluza;Filé de Sardinha Bom Peixe Congelado 800g;19,6;800g;Atacadão;https://www.atacadao.com.br/file-de-sardinha-bom-peixe-congelado-96103-50063/p;21/03/2026 21:34
filé de merluza;Filé de Peixe Merluza Bom Peixe Congelado 500g;19,8;500g;Atacadão;https://www.atacadao.com.br/file-de-peixe-merluza-bom-peixe-congelado-11261-60182/p;21/03/2026 21:34
filé de merluza;Frango Filé De Coxa Sobrecoxa Seara 1kg;19,9;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/13706/frango-file-de-coxa-sobrecoxa-seara-1kg;21/03/2026 21:34
filé de merluza;Filé De Frango Peito Adoro Congelado Iqf 1kg;21,9;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/14028/file-de-frango-peito-adoro-congelado-iqf-1kg;21/03/2026 21:34
filé de merluza;Frango Filé Sassami Adoro Congelado Iqf 1kg;21,9;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/14029/frango-file-sassami-adoro-congelado-iqf-1kg;21/03/2026 21:34
filé de merluza;Frango Filé De Peito Seara Bandeja 1kg;21,9;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/1086/frango-file-de-peito-seara-bandeja-1kg;21/03/2026 21:34
filé de merluza;File de Merluza Congelado Costa Sul 500gcionar;22,9;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-merluza-congelado-costa-sul-500g;21/03/2026 21:34
filé de merluza;Filé de Peixe Merluza Costa Sul Congelado 500g;22,9;500g;Atacadão;https://www.atacadao.com.br/file-de-peixe-merluza-costa-sul-congelado-89810-52772/p;21/03/2026 21:34
filé de merluza;Filé De Polaca Meggs 800g;23,29;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13101/file-de-polaca-meggs-800g;21/03/2026 21:34
filé de merluza;Filé De Panga Meggs 800g;23,9;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13103/file-de-panga-meggs-800g;21/03/2026 21:34
filé de merluza;Prato Pronto Seara 500g Filé De Frango À Parmegiana;23,9;500g;Spani Atacadista;https://www.spanionline.com.br/produto/2386/prato-pronto-seara-500g-file-de-frango-a-parmegiana;21/03/2026 21:34
filé de merluza;Frango File Peito Aurora 1kg;23,9;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/1108/frango-file-peito-aurora-1kg;21/03/2026 21:34
filé de merluza;Filé De Peito Temperado Seara Iqf 1kg;24,49;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/11588/file-de-peito-temperado-seara-iqf-1kg;21/03/2026 21:34
filé de merluza;Filé De Merluza Sem Pele Meggs 800g;25,9;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13102/file-de-merluza-sem-pele-meggs-800g;21/03/2026 21:34
filé de merluza;Filé de Peixe Panga Costa Sul Congelado 800g;25,9;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-panga-costa-sul-congelado-pacote-com-800g-54770-12202/p;21/03/2026 21:34
filé de merluza;Carne Suína File Suíno Congelado Seara 700g;26,4;700g;Spani Atacadista;https://www.spanionline.com.br/produto/12244/carne-suina-file-suino-congelado-seara-700g;21/03/2026 21:34
filé de merluza;Filé de Merluza Congelado Karams 800gcionar;27,5;800g;Tenda Atacado;https://www.tendaatacado.com.br/produto/peixe-cong-merluza-karams-mar-file-800g;21/03/2026 21:34
filé de merluza;File Polaca Oceani 800g;27,9;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13309/file-polaca-oceani-800g;21/03/2026 21:34
filé de merluza;Filé de Merluza Congelado Oceani 800gpartir de 3 unidadesregras;27,9;800g;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-merluza-congelado-oceani-800g;21/03/2026 21:34
filé de merluza;Filé de Peixe Vitalmar Congelado Panga 800g;27,9;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-vitalmar-congelado-panga-89687-52760/p;21/03/2026 21:34
filé de merluza;File De Panga Oceani 800g;28,9;800g;Spani Atacadista;https://www.spanionline.com.br/produto/14770/file-de-panga-oceani-800g;21/03/2026 21:34
filé de merluza;Filé de Peixe Cascudinho Costa Sul Congelado 800g;29,9;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-cascudinho-costa-sul-congelado-pacote-com-800g-50260-12127/p;21/03/2026 21:34
filé de merluza;Filé de Peixe Pescada Costa Sul Congelado 800g;30,9;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-pescada-costa-sul-congelado-pacote-com-800g-51520-12230/p;21/03/2026 21:34
filé de merluza;Filé de Peixe Merluza Vitalmar Congelado 800g;32,9;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-merluza-vitalmar-55353-12198/p;21/03/2026 21:34
filé de merluza;Filé de Peixe Pescada Vitalmar Congelado 800g;33,5;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-pescada-vitalmar-congelado-54773-12251/p;21/03/2026 21:34
filé de merluza;Filé De Merluza Oceani 800g;33,9;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13331/file-de-merluza-oceani-800g;21/03/2026 21:34
filé de merluza;Filé de Peixe Salmão Costa Sul Congelado 800g;84,5;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-salmao-costa-sul-congelado-9512-59184/p;21/03/2026 21:34
filé de merluza;Filé de Salmão Bom Peixe Congelado 1kg;90,9;1kg;Atacadão;https://www.atacadao.com.br/file-de-salmao-bom-peixe-congelado-pacote-com-1kg-63297-12432/p;21/03/2026 21:34
filé de merluza;Carne Bovina File Mignon Friboi 500g;110,14;500g;Spani Atacadista;https://www.spanionline.com.br/produto/11314/carne-bovina-file-mignon-friboi-500g;21/03/2026 21:34
peixe tilápia;Ração Kitekat 70g Sache Peixe;2,39;70g;Spani Atacadista;https://www.spanionline.com.br/produto/9924/racao-kitekat-70g-sache-peixe;21/03/2026 21:34
