Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
"contra file";"File de Coxa e Sobrecoxa de Frango Seara Cong Temperada 1kg";17,90;1kg;Atacadão;https://www.atacadao.com.br/;2026-03-21 22:27:56
"contra file";"Filé de Peito de Frango Desfiado C.Vale Congelado 500g";18,90;500g;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-desfiado-c-vale-congelado-94476-44694/p;2026-03-21 22:27:56
"contra file";"Filé de Peito de Frango Seara Congelado IQF 1kg";18,95;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-seara-congelado-37849-12021/p;2026-03-21 22:27:56
"contra file";"Contra Filé Bovino em Bifes Resfriado Bandeja 400go médio 0.4 kg Valor do kg: onar";19,72;400g;Tenda Atacado;https://www.tendaatacado.com.br/produto/contra-file-bovino-bife-400g;2026-03-21 22:27:56
"contra file";"Filé de Coxa e Sobrecoxa de Frango Ad'oro Congelado 1,5kg";20,90;5kg;Atacadão;https://www.atacadao.com.br/file-de-coxa-e-sobrecoxa-de-frango-ad-oro-87220-11535/p;2026-03-21 22:27:56
"contra file";"Filé de Peito de Frango C. Vale Congelado 18kg";287,46;18kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-c--vale-congelado-50587-11729/p;2026-03-21 22:27:56
"contra filé";"Filé De Sardinha Gomes Da Costa Em Óleo 125g";11,29;125g;Spani Atacadista;https://www.spanionline.com.br/produto/1740/file-de-sardinha-gomes-da-costa-em-oleo-125g;2026-03-21 22:27:56
"contra filé";"Filé de Peito de Frango IQF Copacol Congelado 800g";13,50;800g;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-iqf-copacol-congelado-67258-11887/p;2026-03-21 22:27:56
"contra filé";"Filé de Peito de Frango DaGranja Congelado 600g";13,90;600g;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-dagranja-congelado-65908-11801/p;2026-03-21 22:27:56
"contra filé";"Filé de Coxa e Sobrecoxa de Frango Lar IQF Congelada 1kg";13,98;1kg;Atacadão;https://www.atacadao.com.br/file-de-coxa-e-sobrecoxa-de-frango-lar-iqf-congelada-39301-11562/p;2026-03-21 22:27:56
"contra filé";"Filé de Frango à Milanesa Seara 400g";13,99;400g;Atacadão;https://www.atacadao.com.br/file-de-frango-a-milanesa-seara-88220-11587/p;2026-03-21 22:27:56
"contra filé";"Filé Coxa e Sobrecoxa de Frango Copacol Congelada 800g";14,90;800g;Atacadão;https://www.atacadao.com.br/file-de-coxa-e-sobrecoxa-de-frango-copacol-congelada-74298-11553/p;2026-03-21 22:27:56
"contra filé";"Filé de Peito de Frango Copacol Cong Bifes 800g";15,90;800g;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-copacol-congelado-bifes-67998-11766/p;2026-03-21 22:27:56
"contra filé";"Empanado Filé De Frango Milanesa Seara 400g";15,99;400g;Spani Atacadista;https://www.spanionline.com.br/produto/11636/empanado-file-de-frango-milanesa-seara-400g;2026-03-21 22:27:56
"contra filé";"Frango Filé Sassami Adoro Congelado Iqf 1kg";16,90;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/14029/frango-file-sassami-adoro-congelado-iqf-1kg;2026-03-21 22:27:56
"contra filé";"Filé de Peito de Frango Lar IQF Congelado 1kg";16,90;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-lar-iqf-congelado-46102-11909/p;2026-03-21 22:27:56
"contra filé";"Filé de Peito de Frango Aurora IQF Congelado 1kg";16,90;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-aurora-iqf-congelado-45421-11676/p;2026-03-21 22:27:56
"contra filé";"Filé de Peito de Frango Zip Sadia Congelado 1kg";16,98;1kg;Atacadão;https://www.atacadao.com.br/;2026-03-21 22:27:56
"contra filé";"Filé de Peito de Frango Copacol Congelado 1kg";17,50;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-copacol-congelado-9637-11770/p;2026-03-21 22:27:56
"contra filé";"Filé De Frango Peito Adoro Congelado Iqf 1kg";17,89;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/14028/file-de-frango-peito-adoro-congelado-iqf-1kg;2026-03-21 22:27:56
"contra filé";"Frango Filé De Peito Seara Bandeja 1kg";18,90;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/1086/frango-file-de-peito-seara-bandeja-1kg;2026-03-21 22:27:56
"contra filé";"Filé de Peito de Frango Sadia Congelado 1kg";18,97;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-sadia-congelado-44343-12006/p;2026-03-21 22:27:56
"contra filé";"Filé de Peito de Frango Seara Congelado 1kg";18,98;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-seara-congelado-39632-12027/p;2026-03-21 22:27:56
"contra filé";"Filé De Peito Seara Congelado 1kg";19,98;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/1087/file-de-peito-seara-congelado-1kg;2026-03-21 22:27:56
"contra filé";"Produto indisponível Filé Merluza Pul 600g";19,98;600g;Spani Atacadista;https://www.spanionline.com.br/produto/15049/file-merluza-pul-600g;2026-03-21 22:27:56
"contra filé";"Produto indisponível Filé Tilapia Pul 600g";19,98;600g;Spani Atacadista;https://www.spanionline.com.br/produto/15048/file-tilapia-pul-600g;2026-03-21 22:27:56
"contra filé";"Produto indisponível Filé Panga Pul 600g";19,98;600g;Spani Atacadista;https://www.spanionline.com.br/produto/15047/file-panga-pul-600g;2026-03-21 22:27:56
