Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
Alho;Alho Granel Saco ;17,5;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/alho-granel-100gr-15813;22/03/2026 20:23
Cebola;Cebola Saco 1kg;2,99;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/cebola-bandeja-1kg-15828;23/03/2026 20:23
Batata;Batata Lavada Extra Bandeja;4,39;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/batata-lavada-extra-bandeja-1kg-15829;24/03/2026 20:23
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
