Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
coxa;Coxa de frango congelada Sadia 1kgcionar;10,5;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxa-de-frango-congelada-sadia-1kg;21/03/2026 06:52
coxa;Coxa e Sobrecoxa de Frango à Passarinho Congelada Sadia Zip 1kgcionar;16,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxa-e-sobrecoxa-a-passarinho-congelada-zip-sadia-1kg-3830;21/03/2026 06:52
frango sassami;Filezinho de frango sassami Seara IQF 1kgcionar;20,5;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/filezinho-de-frango-sassami-seara-iqf-1kg;21/03/2026 06:52
peito de frango;Filé de Peito de Frango Zip Sadia Congelado 1kg;16,98;1kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-sadia-zip-congelado-17522-12015/p;21/03/2026 06:52
sobrecoxa;Sobrecoxa Seara IQF 1kg;12,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/sobrecoxa-seara-iqf-1kg;21/03/2026 06:52
;;;;;;
;;;;;;
acém;Acém Bovino Resfriado Pedaço ;37,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/acem-bovino-resfriado-pedaco-1kg;21/03/2026 06:30
músculo;Músculo Bovino Resfriado ;33,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/musculo-bovino-resfriado-peca-4kg;21/03/2026 06:30
capa de coxão mole;Capa de Coxão Mole Bovino 2,2kg;33,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/capa-coxao-mole-bov-pc-vc-kg;22/03/2026 06:30
coxão mole;Coxão Mole Bovino Resfriado;37,9;1kg;Tenda Atacado;Coxão Mole Bovino Resfriado  10kg | Tenda Atacado;23/03/2026 06:30
alcatra;Carne Bovina Alcatra ;61,38;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/12815/carne-bovina-alcatra-pul-500g;21/03/2026 22:20
coxão duro;Coxão Duro Bovino Resfriado Peça ;39,79;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/coxao-duro-bovino-resfriado-peca-6kg;21/03/2026 22:20
contra filé;Contra Filé Bovino Resfriado ;49,29;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/contra-file-bovino-resfriado-peca-4kg;21/03/2026 22:27
;;;;;;
;;;;;;
filé de merluza;File de Merluza Congelado Costa Sul 500gcionar;22,9;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-merluza-congelado-costa-sul-500g;21/03/2026 21:34
peixe tilápia;File De Tilapia Aurora 800g;34,9;800g;Spani Atacadista;https://www.spanionline.com.br/produto/1092/file-de-tilapia-aurora-800g;21/03/2026 21:34
peixe tilápia;Postas de Tilápia Congelada Aurora 800gcionar;19,9;800g;Tenda Atacado;https://www.tendaatacado.com.br/produto/postas-de-tilapia-congelada-aurora-800g;21/03/2026 21:34
;;;;;;
;;;;;;
bacon;Bacon Aurora Cubos 1kg;44,9;1kg;Atacadão;https://www.atacadao.com.br/bacon-aurora-cubos-53302-17648/p;21/03/2026 21:49
Linguiça Toscana;Linguiça Suína Seara 1kg;17,48;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/1147/linguica-suina-seara-5kg;21/03/2026 21:49
costela suína;Carne Suína Costela Aba Rezende Congelada 1,200kg;19,29;1,2kg;Spani Atacadista;https://www.spanionline.com.br/produto/12242/carne-suina-costela-aba-rezende-congelada-1200kg;21/03/2026 21:49
Lombo Suino;Carne Suína Lombo Seara Porco Congelada 700g;22,51;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/10882/carne-suina-lombo-seara-porco-congelada-700g;21/03/2026 21:49
linguiça calabresa;Linguiça Calabresa Perdigão 1kg;26,8;1kg;Atacadão;https://www.atacadao.com.br/linguica-calabresa-perdigao-50701-35533/p;21/03/2026 21:49
pernil suíno;Pernil Suíno Sem Osso Resfriado 500go médio 0.5 kg Valor do kg: onar;9,45;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/pernilsuino-sem-osso-resfriado-500g;21/03/2026 21:49
